NFL-Buccaneers,1976,Tampa Bay,Buccaneers,NFL,,AFCWest,0,14,0,JohnMcKay,x,x
NFL-Buccaneers,1977,Tampa Bay,Buccaneers,NFL,,NFCCentral,2,12,0,JohnMcKay,,
NFL-Buccaneers,1978,Tampa Bay,Buccaneers,NFL,,NFCCentral,5,11,0,JohnMcKay,,
NFL-Buccaneers,1979,Tampa Bay,Buccaneers,NFL,,NFCCentral,10,6,0,JohnMcKay,,
NFL-Buccaneers,1980,Tampa Bay,Buccaneers,NFL,,NFCCentral,5,10,1,JohnMcKay,,
NFL-Buccaneers,1981,Tampa Bay,Buccaneers,NFL,,NFCCentral,9,7,0,JohnMcKay,,
NFL-Buccaneers,1982,Tampa Bay,Buccaneers,NFL,,NFCCentral,5,4,0,JohnMcKay,,
NFL-Buccaneers,1983,Tampa Bay,Buccaneers,NFL,,NFCCentral,2,14,0,JohnMcKay,,
NFL-Buccaneers,1984,Tampa Bay,Buccaneers,NFL,,NFCCentral,6,10,0,JohnMcKay,,
NFL-Buccaneers,1985,Tampa Bay,Buccaneers,NFL,,NFCCentral,2,14,0,LeemanBennett,,
NFL-Buccaneers,1986,Tampa Bay,Buccaneers,NFL,,NFCCentral,2,14,0,LeemanBennett,,
NFL-Buccaneers,1987,Tampa Bay,Buccaneers,NFL,,NFCCentral,4,11,0,RayPerkins,,
NFL-Buccaneers,1988,Tampa Bay,Buccaneers,NFL,,NFCCentral,5,11,0,RayPerkins,,
NFL-Buccaneers,1989,Tampa Bay,Buccaneers,NFL,,NFCCentral,5,11,0,RayPerkins,,
NFL-Buccaneers,1990,Tampa Bay,Buccaneers,NFL,,NFCCentral,6,10,0,RayPerkins,,
NFL-Buccaneers,1991,Tampa Bay,Buccaneers,NFL,,NFCCentral,3,13,0,RichardWilliamson,,
NFL-Buccaneers,1992,Tampa Bay,Buccaneers,NFL,,NFCCentral,5,11,0,SamWyche,,
NFL-Buccaneers,1993,Tampa Bay,Buccaneers,NFL,,NFCCentral,5,11,0,SamWyche,,
NFL-Buccaneers,1994,Tampa Bay,Buccaneers,NFL,,NFCCentral,6,10,0,SamWyche,,
NFL-Buccaneers,1995,Tampa Bay,Buccaneers,NFL,,NFCCentral,7,9,0,SamWyche,,
NFL-Buccaneers,1996,Tampa Bay,Buccaneers,NFL,,NFCCentral,6,10,0,TonyDungy,,
NFL-Buccaneers,1997,Tampa Bay,Buccaneers,NFL,,NFCCentral,10,6,0,TonyDungy,,
NFL-Buccaneers,1998,Tampa Bay,Buccaneers,NFL,,NFCCentral,8,8,0,TonyDungy,,
NFL-Buccaneers,1999,Tampa Bay,Buccaneers,NFL,,NFCCentral,11,5,0,TonyDungy,,
NFL-Buccaneers,2000,Tampa Bay,Buccaneers,NFL,,NFCCentral,10,6,0,TonyDungy,,
NFL-Buccaneers,2001,Tampa Bay,Buccaneers,NFL,,NFCCentral,9,7,0,TonyDungy,,
NFL-Buccaneers,2002,Tampa Bay,Buccaneers,NFL,,NFCSouth,12,4,0,JonGruden,,
NFL-Buccaneers,2003,Tampa Bay,Buccaneers,NFL,,NFCSouth,7,9,0,JonGruden,,
NFL-Buccaneers,2004,Tampa Bay,Buccaneers,NFL,,NFCSouth,5,11,0,JonGruden,,
NFL-Buccaneers,2005,Tampa Bay,Buccaneers,NFL,,NFCSouth,11,5,0,JonGruden,,
NFL-Buccaneers,2006,Tampa Bay,Buccaneers,NFL,,NFCSouth,4,12,0,JonGruden,,
NFL-Buccaneers,2007,Tampa Bay,Buccaneers,NFL,,NFCSouth,9,7,0,JonGruden,,
NFL-Buccaneers,2008,Tampa Bay,Buccaneers,NFL,,NFCSouth,9,7,0,JonGruden,,
NFL-Buccaneers,2009,Tampa Bay,Buccaneers,NFL,,NFCSouth,3,13,0,RaheemMorris,,
NFL-Buccaneers,2010,Tampa Bay,Buccaneers,NFL,,NFCSouth,10,6,0,RaheemMorris,,
NFL-Buccaneers,2011,Tampa Bay,Buccaneers,NFL,,NFCSouth,4,12,0,RaheemMorris,,
NFL-Buccaneers,2012,Tampa Bay,Buccaneers,NFL,,NFCSouth,7,9,0,GregSchiano,,
NFL-Buccaneers,2013,Tampa Bay,Buccaneers,NFL,,NFCSouth,4,12,0,GregSchiano,,
NFL-Buccaneers,2014,Tampa Bay,Buccaneers,NFL,,NFCSouth,2,14,0,LovieSmith,,
NFL-Buccaneers,2015,Tampa Bay,Buccaneers,NFL,,NFCSouth,6,10,0,LovieSmith,,
NFL-Buccaneers,2016,Tampa Bay,Buccaneers,NFL,,NFCSouth,9,7,0,DirkKoetter,,
NFL-Buccaneers,2017,Tampa Bay,Buccaneers,NFL,,NFCSouth,5,11,0,DirkKoetter,,
NFL-Buccaneers,2018,Tampa Bay,Buccaneers,NFL,,NFCSouth,5,11,0,DirkKoetter,,
NFL-Buccaneers,2019,Tampa Bay,Buccaneers,NFL,,NFCSouth,7,7,7,BruceArians,,
