NFL-Titans,1960,Houston,Oilers,AFL,AFLEastern,,10,4,0,LouRymkus,x,x
NFL-Titans,1961,Houston,Oilers,AFL,AFLEastern,,10,3,1,LouRymkus,,
NFL-Titans,1962,Houston,Oilers,AFL,AFLEastern,,11,3,0,PopIvy,,
NFL-Titans,1963,Houston,Oilers,AFL,AFLEastern,,6,8,0,PopIvy,,
NFL-Titans,1964,Houston,Oilers,AFL,AFLEastern,,4,10,0,SammyBaugh,,
NFL-Titans,1965,Houston,Oilers,AFL,AFLEastern,,4,10,0,HughTaylor,,
NFL-Titans,1966,Houston,Oilers,AFL,AFLEastern,,3,11,0,WallyLemm,,
NFL-Titans,1967,Houston,Oilers,AFL,AFLEastern,,9,4,1,WallyLemm,,
NFL-Titans,1968,Houston,Oilers,AFL,AFLEastern,,7,7,0,WallyLemm,,
NFL-Titans,1969,Houston,Oilers,AFL,AFLEastern,,6,6,2,WallyLemm,,
NFL-Titans,1970,Houston,Oilers,NFL,,AFCCentral,3,10,1,WallyLemm,,
NFL-Titans,1971,Houston,Oilers,NFL,,AFCCentral,4,9,1,EdHughes,,
NFL-Titans,1972,Houston,Oilers,NFL,,AFCCentral,1,13,0,BillPeterson,,
NFL-Titans,1973,Houston,Oilers,NFL,,AFCCentral,1,13,0,BillPeterson,,
NFL-Titans,1974,Houston,Oilers,NFL,,AFCCentral,7,7,0,SidGillman,,
NFL-Titans,1975,Houston,Oilers,NFL,,AFCCentral,10,4,0,BumPhillips,,
NFL-Titans,1976,Houston,Oilers,NFL,,AFCCentral,5,9,0,BumPhillips,,
NFL-Titans,1977,Houston,Oilers,NFL,,AFCCentral,8,6,0,BumPhillips,,
NFL-Titans,1978,Houston,Oilers,NFL,,AFCCentral,10,6,0,BumPhillips,,
NFL-Titans,1979,Houston,Oilers,NFL,,AFCCentral,11,5,0,BumPhillips,,
NFL-Titans,1980,Houston,Oilers,NFL,,AFCCentral,11,5,0,BumPhillips,,
NFL-Titans,1981,Houston,Oilers,NFL,,AFCCentral,7,9,0,EdBiles,,
NFL-Titans,1982,Houston,Oilers,NFL,,AFCCentral,1,8,0,EdBiles,,
NFL-Titans,1983,Houston,Oilers,NFL,,AFCCentral,2,14,0,EdBiles,,
NFL-Titans,1984,Houston,Oilers,NFL,,AFCCentral,3,13,0,HughCampbell,,
NFL-Titans,1985,Houston,Oilers,NFL,,AFCCentral,5,11,0,HughCampbell,,
NFL-Titans,1986,Houston,Oilers,NFL,,AFCCentral,5,11,0,JerryGlanville,,
